Board Vector,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Move Predictions,-,-,-,-,-,-,Position Rating,Game Result,Game Length,Game Index
-1,1,0,-1,-1,1,1,-1,1,0,1,1,-1,-1,-1,1,0,-1,-1,1,-1,1,-1,0,1,-1,1,1,-1,1,0,1,1,1,-1,-1,-1,0,1,-1,-1,1,0,0,1,0,0,0,0,1,1,39,1
-1,1,0,-1,-1,1,1,-1,1,0,1,1,-1,-1,-1,1,0,-1,-1,1,-1,1,-1,0,1,-1,1,1,-1,1,0,1,1,1,-1,-1,-1,-1,1,-1,-1,1,0,0,1,0,0,0,0,1,1,39,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0232,0.0499,0.1102,0.647,0.0711,0.0749,0.0237,0.253879,1,19,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2906,0.1411,0.0661,0.0615,0.1124,0.1022,0.2261,-0.30468,1,19,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0.0635,0.0516,0.0866,0.2456,0.4112,0.0826,0.0589,0.432782,1,19,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,0,0.0268,0.0273,0.5289,0.0307,0.0206,0.3338,0.0319,-0.161202,1,19,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,1,0,0,0.0523,0.0265,0.0943,0.3411,0.2172,0.1147,0.1539,0.398886,1,19,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,1,1,0,0,0.129,0.3118,0.0494,0.0425,0.1235,0.2211,0.1227,-0.346183,1,19,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,-1,0,-1,1,1,0,0,0.189,0.0347,0.1025,0.1857,0.1972,0.0986,0.1923,0.466836,1,19,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,1,0,0,0,-1,0,-1,1,1,0,0,0.0005,0.0006,0.0001,0.9974,0.0005,0.0005,0.0004,-0.0672148,1,19,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,0,1,0,0,0,-1,0,-1,1,1,0,0,0.1237,0.0428,0.0537,0.0318,0.5724,0.0549,0.1207,0.453145,1,19,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,0,1,1,0,0,-1,0,-1,1,1,0,0,0.0406,0.0381,0.2009,0.1556,0.056,0.1444,0.3644,-0.0730516,1,19,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,0,1,1,0,0,-1,0,-1,1,1,0,-1,0.0374,0.0084,0.348,0.0235,0.5077,0.0241,0.0509,0.511523,1,19,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,0,0,-1,0,0,1,1,0,0,-1,0,-1,1,1,0,-1,0.0005,0.0005,0.0005,0.0006,0.9972,0.0001,0.0006,-0.0818893,1,19,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,1,0,0,-1,0,0,1,1,0,0,-1,0,-1,1,1,0,-1,0.0918,0.0203,0.6145,0.0351,0.0152,0.0621,0.161,0.588609,1,19,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,1,0,0,-1,0,1,1,1,0,0,-1,0,-1,1,1,0,-1,0.2248,0.0003,0.0991,0.2359,0.2341,0.0006,0.2052,0.794404,1,19,2
0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,1,0,0,-1,0,1,1,1,0,0,-1,0,-1,1,1,0,-1,0.05,0.732,0.1113,0.0277,0.0235,0.0284,0.0271,0.855874,1,19,2
0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,1,0,0,-1,0,1,1,1,0,0,-1,1,-1,1,1,0,-1,0.0003,0.9986,0.0001,0.0002,0.0003,0.0003,0.0002,0.976167,1,19,2
0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,1,0,0,-1,-1,1,1,1,0,0,-1,1,-1,1,1,0,-1,0.0004,0.0004,0.9979,0.0004,0.0001,0.0004,0.0004,0.911214,1,19,2
0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,1,1,1,0,0,-1,-1,1,1,1,0,0,-1,1,-1,1,1,0,-1,0.0003,0.9984,0.0002,0.0002,0.0003,0.0003,0.0003,1,1,19,2
0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,-1,1,1,1,0,0,-1,-1,1,1,1,0,0,-1,1,-1,1,1,0,-1,0.0003,0.8195,0.1791,0.0001,0.0003,0.0003,0.0004,1,1,19,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456,0.0444,0.0553,0.6878,0.0962,0.0339,0.0368,0.265135,1,33,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1737,0.2347,0.0555,0.0756,0.0675,0.1261,0.2669,-0.277407,1,33,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0.0867,0.0852,0.3914,0.2954,0.0379,0.0259,0.0775,0.474553,1,33,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,0.0318,0.407,0.0299,0.0297,0.4494,0.0293,0.0229,-0.144148,1,33,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,-1,0.1238,0.1092,0.2381,0.2899,0.1809,0.0168,0.0413,0.416143,1,33,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,-1,0,-1,0.1333,0.104,0.0552,0.0541,0.0806,0.4805,0.0923,-0.363163,1,33,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,-1,-1,-1,0.2452,0.2107,0.069,0.2596,0.0576,0.1227,0.0352,0.643451,1,33,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,-1,-1,-1,0.0005,0.0002,0.0001,0.9986,0.0001,0.0001,0.0004,-0.0431604,1,33,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,-1,-1,-1,0.1793,0.0516,0.0776,0.0143,0.0272,0.6256,0.0244,0.606618,1,33,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,-1,-1,-1,0.0237,0.0282,0.301,0.0376,0.2849,0.0337,0.2909,-0.298937,1,33,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,-1,1,0,1,0,0,0,1,1,-1,-1,-1,0.2121,0.0472,0.2339,0.0203,0.2016,0.0682,0.2167,0.613425,1,33,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,0,0,0,0,0,-1,1,0,1,0,0,0,1,1,-1,-1,-1,0.135,0.1136,0.1574,0.1352,0.0329,0.1366,0.2893,-0.360456,1,33,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,0,0,0,0,0,-1,1,0,1,-1,0,0,1,1,-1,-1,-1,0.1629,0.163,0.0562,0.0363,0.0243,0.4411,0.1162,0.655951,1,33,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,0,1,0,0,0,-1,1,0,1,-1,0,0,1,1,-1,-1,-1,0.3061,0.261,0.1181,0.2157,0.0006,0.0866,0.0119,-0.412414,1,33,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,0,1,0,0,0,-1,1,0,1,-1,-1,0,1,1,-1,-1,-1,0.0784,0.0471,0.1068,0.0654,0.1076,0.1424,0.4523,0.7086,1,33,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,0,1,1,0,0,-1,1,0,1,-1,-1,0,1,1,-1,-1,-1,0.0342,0.0383,0.0387,0.0242,0.0005,0.0401,0.824,-0.285777,1,33,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,1,1,0,1,1,0,0,-1,1,0,1,-1,-1,0,1,1,-1,-1,-1,0.1757,0.0491,0.2489,0.1368,0.0505,0.2699,0.0691,0.695295,1,33,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,-1,0,0,1,1,0,1,1,0,0,-1,1,0,1,-1,-1,0,1,1,-1,-1,-1,0.0006,0.0007,0.0006,0.0006,0.0006,0.9963,0.0006,-0.281702,1,33,3
0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,1,-1,0,0,1,1,0,1,1,0,0,-1,1,0,1,-1,-1,0,1,1,-1,-1,-1,0.1499,0.0462,0.2189,0.3504,0.074,0.0855,0.0751,0.668037,1,33,3
0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,-1,0,1,-1,0,0,1,1,0,1,1,0,0,-1,1,0,1,-1,-1,0,1,1,-1,-1,-1,0.0536,0.1977,0.0952,0.0707,0.0006,0.2061,0.3761,-0.611965,1,33,3
0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0,0,-1,0,1,-1,0,0,1,1,0,1,1,0,0,-1,1,0,1,-1,-1,0,1,1,-1,-1,-1,0.1294,0.0735,0.3715,0.1283,0.1229,0.0788,0.0956,0.777443,1,33,3
0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0,1,-1,0,1,-1,0,0,1,1,0,1,1,0,0,-1,1,0,1,-1,-1,0,1,1,-1,-1,-1,0.0551,0.2219,0.1273,0.0777,0.0006,0.1998,0.3176,-0.651574,1,33,3
0,0,0,0,0,0,-1,0,0,0,1,0,-1,-1,0,0,1,-1,0,1,-1,0,0,1,1,0,1,1,0,0,-1,1,0,1,-1,-1,0,1,1,-1,-1,-1,0.2306,0.0831,0.2235,0.1307,0.2362,0.0959,0,0.878831,1,33,3
0,0,0,0,0,0,-1,0,0,0,1,0,-1,-1,0,0,1,-1,0,1,-1,0,0,1,1,0,1,1,0,0,-1,1,1,1,-1,-1,0,1,1,-1,-1,-1,0.0005,0.0001,0.0005,0.0005,0.9979,0.0005,0,0.0920132,1,33,3
0,0,0,0,0,0,-1,0,0,0,1,0,-1,-1,0,0,1,-1,0,1,-1,0,0,1,1,-1,1,1,0,0,-1,1,1,1,-1,-1,0,1,1,-1,-1,-1,0.0721,0.0531,0.1262,0.5734,0.0932,0.082,0,0.8797,1,33,3
